Scraped At,Section,Subcategory,Product Name,Price,Rating,Image URL,Product URL,Page
2026-02-11 10:36:26,Accessories,"Storage & Thermoware
1250",OC9 Silver Stainless Steel Storage Racks ( Pack of 1 ),Rs. 143,4.2,https://g.sdlcdn.com/imgs/k/w/7/OC9-Silver-Stainless-Steel-Storage-SDL619668746-2-d2057.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/oc9-silver-stainless-steel-storage/619557336251#bcrumbSearch:accessories|bcrumbLabelId:207,1
2026-02-11 10:36:26,Accessories,"Storage & Thermoware
1250",HURPRISE.COM White Stainless Steel Storage Racks ( Pack of 1 ),Rs. 275,4.0,https://g.sdlcdn.com/imgs/l/e/k/HURPRISE-COM-White-Stainless-Steel-SDL052333633-1-8fc23.png?w=220&h=258&sharp=7,https://www.snapdeal.com/product/hurprisecom-white-stainless-steel-storage/664564060148#bcrumbSearch:accessories|bcrumbLabelId:207,1
2026-02-11 10:36:26,Accessories,"Storage & Thermoware
1250",Kitchen Shelf Storage Rack Self Adhesive Traceless Rectangular Box Organizer Plastic Hanging Toilet Bathroom Desktop Wall Mount No Driling Required (Multicolor),Rs. 131,4.0,https://g.sdlcdn.com/imgs/j/m/u/Kitchen-Shelf-Storage-Rack-Self-SDL772480286-1-ac133.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/kitchen-shelf-storage-rack-self/651274312796#bcrumbSearch:accessories|bcrumbLabelId:207,1
2026-02-11 10:36:26,Accessories,"Storage & Thermoware
1250",Sonal Brown Plastic Storage Racks ( Pack of 1 ),Rs. 500,3.9,https://g.sdlcdn.com/imgs/k/6/i/Sonal-Brown-Plastic-Storage-Racks-SDL681384776-1-20e82.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/sonal-brown-plastic-storage-racks/627191043139#bcrumbSearch:accessories|bcrumbLabelId:207,1
2026-02-11 10:36:26,Accessories,"Storage & Thermoware
1250",KITSMART Black Steel Storage Racks ( Pack of 1 ),Rs. 423,3.7,https://g.sdlcdn.com/imgs/k/8/p/KITSMART-Black-Steel-Storage-Racks-SDL596142542-1-99373.png?w=220&h=258&sharp=7,https://www.snapdeal.com/product/kitsmart-black-steel-storage-racks/642817018755#bcrumbSearch:accessories|bcrumbLabelId:207,1
2026-02-11 10:36:26,Accessories,"Storage & Thermoware
1250",Anshri White Plastic Kitchen Dispenser ( Pack of 2 ),Rs. 167,4.4,https://g.sdlcdn.com/imgs/k/2/7/Anshri-White-Plastic-Kitchen-Dispenser-SDL199517793-1-9251b.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/anshri-white-plastic-kitchen-dispenser/654906296466#bcrumbSearch:accessories|bcrumbLabelId:207,1
2026-02-11 10:36:26,Accessories,"Storage & Thermoware
1250",SPIX Black Stainless Steel Storage Racks ( Pack of 1 ),Rs. 299,3.6,https://g.sdlcdn.com/imgs/l/b/h/SPIX-Black-Stainless-Steel-Storage-SDL364462288-1-c9872.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/spix-black-stainless-steel-storage/620243521414#bcrumbSearch:accessories|bcrumbLabelId:207,1
2026-02-11 10:36:26,Accessories,"Storage & Thermoware
1250",Anshri White Plastic Storage Racks ( Pack of 4 ),Rs. 250,4.1,https://g.sdlcdn.com/imgs/k/4/z/Anshri-White-Plastic-Storage-Racks-SDL158288851-1-82b79.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/anshri-white-plastic-storage-racks/636623008371#bcrumbSearch:accessories|bcrumbLabelId:207,1
2026-02-11 10:36:27,Accessories,"Storage & Thermoware
1250",Winstar - Silver Stainless Steel Wall mount Stand ( Pack of 1 ),Rs. 790,4.3,,https://www.snapdeal.com/product/winstar-silver-stainless-steel-wall/647630699021#bcrumbSearch:accessories|bcrumbLabelId:207,1
2026-02-11 10:36:27,Accessories,"Storage & Thermoware
1250","Masala Rangoli Box Dabba for Keeping Spices, Spice Box for Kitchen, Plastic Wooden Style Masala Box, Masala Container, Masala Dabba",Rs. 171,4.4,,https://www.snapdeal.com/product/masala-rangoli-box-dabba-for/648082979993#bcrumbSearch:accessories|bcrumbLabelId:207,1
2026-02-11 10:36:32,Accessories,"Bar Accessories
1426",rk trader Multicolor Aluminium Cigarette Lighter ( Pack of 1 ),Rs. 233,4.1,https://g.sdlcdn.com/imgs/l/c/p/rk-trader-Multicolor-Aluminium-Cigarette-SDL939015698-1-507a5.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/rk-trader-multicolor-aluminium-cigarette/674600878563#bcrumbSearch:accessories|bcrumbLabelId:88,1
2026-02-11 10:36:32,Accessories,"Bar Accessories
1426",Droor Ash tray,Rs. 321,4.6,https://g.sdlcdn.com/imgs/k/9/6/Droor-Ash-tray-SDL837293080-1-79523.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/droor-ash-tray/666205031699#bcrumbSearch:accessories|bcrumbLabelId:88,1
2026-02-11 10:36:32,Accessories,"Bar Accessories
1426",8 Pcs Steel Bar set,Rs. 569,4.3,https://g.sdlcdn.com/imgs/k/p/l/HOMETALES-8-Pcs-Steel-Bar-SDL365566050-1-33a6e.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/hometales-8-pcs-steel-bar/657646167945#bcrumbSearch:accessories|bcrumbLabelId:88,1
2026-02-11 10:36:32,Accessories,"Bar Accessories
1426",Dynore Black Stainless Steel Bottle Opener,Rs. 118,4.7,https://g.sdlcdn.com/imgs/k/x/6/Dynore-Black-Stainless-Steel-Bottle-SDL900502418-1-79ce8.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/dynore-black-stainless-steel-bottle/680682268466#bcrumbSearch:accessories|bcrumbLabelId:88,1
2026-02-11 10:36:32,Accessories,"Bar Accessories
1426",Peshkar Gold Iron Cigarette Lighter ( Pack of 1 ),Rs. 332,3.9,https://g.sdlcdn.com/imgs/k/0/5/Peshkar-Gold-Iron-Cigarette-Lighter-SDL753483129-1-fa73a.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/peshkar-gold-iron-cigarette-lighter/670302580984#bcrumbSearch:accessories|bcrumbLabelId:88,1
2026-02-11 10:36:32,Accessories,"Bar Accessories
1426",Orelius fire Silver Stainless Steel Cigarette Lighter ( Pack of 1 ),Rs. 572,,https://g.sdlcdn.com/imgs/l/c/r/Orelius-fire-Silver-Stainless-Steel-SDL937794864-1-70d8e.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/orelius-fire-silver-stainless-steel/663556774166#bcrumbSearch:accessories|bcrumbLabelId:88,1
2026-02-11 10:36:33,Accessories,"Bar Accessories
1426",rk trader Black Virgin Plastic Cigarette Lighter ( Pack of 1 ),Rs. 283,4.6,https://g.sdlcdn.com/imgs/l/d/d/rk-trader-Black-Virgin-Plastic-SDL298521950-1-11939.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/rk-trader-black-virgin-plastic/645117835885#bcrumbSearch:accessories|bcrumbLabelId:88,1
2026-02-11 10:36:33,Accessories,"Bar Accessories
1426",GMPex Cigarette Lighters with LED Light Assorted PVC Cigarette Lighter ( Pack of 1 ),Rs. 246,4.0,https://g.sdlcdn.com/imgs/k/7/h/GMPex-Cigarette-Lighters-with-LED-SDL799105033-1-19cd0.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/gmpex-cigarette-lighters-with-led/677109012116#bcrumbSearch:accessories|bcrumbLabelId:88,1
2026-02-11 10:36:33,Accessories,"Bar Accessories
1426",PAAVI Multicolor Silver Cigarette Lighter ( Pack of 1 ),Rs. 181,5.0,,https://www.snapdeal.com/product/paavi-multicolor-silver-cigarette-lighter/639149067080#bcrumbSearch:accessories|bcrumbLabelId:88,1
2026-02-11 10:36:33,Accessories,"Bar Accessories
1426",Peshkar Gold Iron Cigarette Lighter ( Pack of 1 ),Rs. 382,4.1,,https://www.snapdeal.com/product/peshkar-gold-iron-cigarette-lighter/670152429926#bcrumbSearch:accessories|bcrumbLabelId:88,1
2026-02-11 10:36:38,Accessories,"Kitchen Tools
325","Air Fryer Liners 100 Pcs 8 Inch Square, Disposable Parchment Paper Baking Liners Non-Stick Oil-Proof Food Grade Paper, Perfect for 5-8 QT Air Fryer Basket, Oven, Microwave, Steamer Accessories",Rs. 196,5.0,https://g.sdlcdn.com/imgs/l/e/l/Air-Fryer-Liners-100-Pcs-SDL550456618-1-132de.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/air-fryer-liners-100-pcs/658811968706#bcrumbSearch:accessories|bcrumbLabelId:204,1
2026-02-11 10:36:38,Accessories,"Kitchen Tools
325",6 pcs. Reusable Air Fryer Silicone Pot Liners | Non-Stick Heat-Resistant Basket Baking Trays | Airfryer Oven Accessories | Dishwasher Safe | Multicolor | (Pack of 1),Rs. 229,4.0,https://g.sdlcdn.com/imgs/k/8/k/6-pcs-Reusable-Air-Fryer-SDL862241952-1-67607.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/6-pcs-reusable-air-fryer/640326208334#bcrumbSearch:accessories|bcrumbLabelId:204,1
